Results
algorithm = BottomUpMergesort, size = 3, seed = 4, time = 5552 ms
algorithm = BottomUpMergesort, size = 3, seed = 5, time = 5584 ms
algorithm = BottomUpMergesort, size = 3, seed = 6, time = 5621 ms
algorithm = BottomUpMergesort, size = 3, seed = 7, time = 5388 ms
algorithm = BottomUpMergesort, size = 3, seed = 8, time = 5393 ms
algorithm = BottomUpMergesort, size = 3, seed = 9, time = 5401 ms
algorithm = BottomUpMergesort, size = 4, seed = 0, time = 11552 ms
algorithm = BottomUpMergesort, size = 4, seed = 1, time = 11783 ms
algorithm = BottomUpMergesort, size = 4, seed = 2, time = 11339 ms
algorithm = BottomUpMergesort, size = 4, seed = 3, time = 10949 ms
algorithm = BottomUpMergesort, size = 4, seed = 4, time = 11057 ms
algorithm = BottomUpMergesort, size = 4, seed = 5, time = 11171 ms
algorithm = BottomUpMergesort, size = 4, seed = 6, time = 11107 ms
algorithm = BottomUpMergesort, size = 4, seed = 7, time = 11356 ms
algorithm = BottomUpMergesort, size = 4, seed = 8, time = 11412 ms
algorithm = BottomUpMergesort, size = 4, seed = 9, time = 11361 ms
algorithm = BottomUpMergesort, size = 5, seed = 0, time = 24495 ms
algorithm = BottomUpMergesort, size = 5, seed = 1, time = 24225 ms
algorithm = BottomUpMergesort, size = 5, seed = 2, time = 22263 ms
algorithm = BottomUpMergesort, size = 5, seed = 3, time = 21238 ms
algorithm = BottomUpMergesort, size = 5, seed = 4, time = 21137 ms
algorithm = BottomUpMergesort, size = 5, seed = 5, time = 20753 ms
algorithm = BottomUpMergesort, size = 5, seed = 6, time = 21077 ms
algorithm = BottomUpMergesort, size = 5, seed = 7, time = 21101 ms
algorithm = BottomUpMergesort, size = 5, seed = 8, time = 20897 ms
algorithm = BottomUpMergesort, size = 5, seed = 9, time = 21027 ms
algorithm = BottomUpMergesort, size = 6, seed = 0, time = 3343 ms
algorithm = BottomUpMergesort, size = 6, seed = 1, time = 3202 ms
algorithm = BottomUpMergesort, size = 6, seed = 2, time = 3216 ms
algorithm = BottomUpMergesort, size = 6, seed = 3, time = 3253 ms
algorithm = BottomUpMergesort, size = 6, seed = 4, time = 3232 ms
algorithm = BottomUpMergesort, size = 6, seed = 5, time = 3219 ms
algorithm = BottomUpMergesort, size = 6, seed = 6, time = 3260 ms
algorithm = BottomUpMergesort, size = 6, seed = 7, time = 3283 ms
algorithm = BottomUpMergesort, size = 6, seed = 8, time = 3203 ms
algorithm = BottomUpMergesort, size = 6, seed = 9, time = 3294 ms
algorithm = BottomUpMergesort, size = 7, seed = 0, time = 3326 ms
algorithm = BottomUpMergesort, size = 7, seed = 1, time = 3178 ms
algorithm = BottomUpMergesort, size = 7, seed = 2, time = 3229 ms
algorithm = BottomUpMergesort, size = 7, seed = 3, time = 3220 ms
algorithm = BottomUpMergesort, size = 7, seed = 4, time = 3232 ms
algorithm = BottomUpMergesort, size = 7, seed = 5, time = 3206 ms
algorithm = BottomUpMergesort, size = 7, seed = 6, time = 3285 ms
algorithm = BottomUpMergesort, size = 7, seed = 7, time = 3200 ms
algorithm = BottomUpMergesort, size = 7, seed = 8, time = 3300 ms
algorithm = BottomUpMergesort, size = 7, seed = 9, time = 3191 ms
